id,Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link,home_elo,away_elo,B365H,B365D,B365A,xScore,xScoreElo,Home Avg Players Score,Away Avg Players Score,Home Star Player Count,Away Star Player Count,Players Found %,xPower,xSuperPower,importance1,importance2,proj_score1,proj_score2,spi1,spi2,prob1,prob2,probtie,Home Points,Away Points,xG Home Diff,xG Away Diff,Home Avg Points,Away Avg Points,Home Avg Goals For,Away Avg Goals For,Home Avg Goals Against,Away Avg Goals Against,Home Matches Played,Away Matches Played,Home Points/Match,Away Points/Match,Home Form Points,Away Form Points,Home Form Goals For,Away Form Goals For,Home Form Goals Against,Away Form Goals Against,Home Head-to-Head Points,Away Head-to-Head Points,Home Head-to-Head Goals For,Away Head-to-Head Goals For,Home Head-to-Head Goals Against,Away Head-to-Head Goals Against,xG Home Avg Diff,xG Home Form Diff,xG Away Avg Diff,xG Away Form Diff
1,9557494480,1.0,Fri,2019-08-09,20:00,Liverpool,1.8,4,Norwich City,0.9,1,Premier-League,2019-2020,1,https://fbref.com/en/matches/928467bd/Liverpool-Norwich-City-August-9-2019-Premier-League,2050.4,1634.85,1.14,10.0,19.0,1,1,85.35,72.29,5,0,0.96,1,1,49.1,42.6,2.84,0.34,92.88,62.33,0.8801,0.0252,0.0947,3,0,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700,6926583536,1.0,Fri,2019-08-09,20:45,Monaco,0.6,0,Lyon,0.8,3,Ligue-1,2019-2020,-1,https://fbref.com/en/matches/eb594ee1/Monaco-Lyon-August-9-2019-Ligue-1,1568.4,1732.64,3.0,3.3,2.37,-1,-1,75.07,79.22,0,1,0.86,0,-1,37.0,55.5,1.47,1.67,64.23,73.71,0.3334,0.4209,0.2457,0,3,-0.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7520725978,1.0,Sat,2019-08-10,12:30,West Ham,1.1,0,Manchester City,3.2,5,Premier-League,2019-2020,-1,https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,1733.63,2041.45,12.0,6.5,1.22,-1,-1,78.71,87.35,0,7,1.0,0,-1,23.4,76.1,0.82,2.52,69.97,94.24,0.0997,0.7393,0.161,0,3,-1.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2851357879,1.0,Sat,2019-08-10,15:00,Burnley,0.9,3,Southampton,1.2,0,Premier-League,2019-2020,1,https://fbref.com/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League,1685.84,1677.97,1.95,3.6,3.6,1,0,75.23,74.71,0,0,0.93,0,0,32.8,26.0,1.53,1.2,67.63,68.57,0.445,0.2956,0.2594,3,0,2.1,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5570772402,1.0,Sat,2019-08-10,15:00,Watford,0.7,0,Brighton,0.8,3,Premier-League,2019-2020,-1,https://fbref.com/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,1689.49,1620.44,2.62,3.2,2.75,1,1,75.77,78.39,0,1,0.81,0,-1,31.3,38.8,1.67,1.05,67.64,62.74,0.5133,0.2371,0.2496,0,3,-0.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3653456418,1.0,Sat,2019-08-10,15:00,Crystal Palace,0.9,0,Everton,1.1,0,Premier-League,2019-2020,0,https://fbref.com/en/matches/a802f51e/Crystal-Palace-Everton-August-10-2019-Premier-League,1746.71,1773.84,3.0,3.25,2.37,-1,-1,76.46,80.72,0,1,1.0,0,-1,21.5,35.8,1.33,1.38,71.02,78.66,0.3564,0.3793,0.2644,1,1,-0.9,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2458273939,1.0,Sat,2019-08-10,15:00,Bournemouth,1.3,1,Sheffield Utd,1.3,1,Premier-League,2019-2020,0,https://fbref.com/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,1695.08,1623.75,1.9,3.4,4.0,1,1,75.42,72.71,0,0,1.0,0,0,29.3,38.2,1.8,1.02,69.61,61.84,0.5512,0.2114,0.2374,1,1,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5561706153,1.0,Sat,2019-08-10,17:30,Tottenham,2.4,3,Aston Villa,0.7,1,Premier-League,2019-2020,1,https://fbref.com/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League,1895.0,1616.39,1.3,5.25,10.0,1,1,84.74,73.57,4,0,0.82,1,1,61.8,32.3,2.18,0.62,85.07,64.64,0.729,0.0906,0.1804,3,0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5701,3245102363,1.0,Sat,2019-08-10,17:30,Marseille,0.9,0,Reims,1.2,2,Ligue-1,2019-2020,-1,https://fbref.com/en/matches/d7e26ebe/Marseille-Reims-August-10-2019-Ligue-1,1641.88,1588.9,1.66,3.5,6.0,1,1,76.64,71.5,0,0,0.86,0,0,38.3,23.8,1.76,0.84,66.92,56.1,0.5832,0.1743,0.2425,0,3,-0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5702,2131958271,1.0,Sat,2019-08-10,20:00,Montpellier,2.9,0,Rennes,1.2,1,Ligue-1,2019-2020,-1,https://fbref.com/en/matches/14a49720/Montpellier-Rennes-August-10-2019-Ligue-1,1623.3,1621.11,2.37,3.1,3.2,1,0,72.86,72.14,0,0,0.82,0,0,29.3,22.7,1.61,1.05,63.75,59.82,0.4956,0.2453,0.2591,0,3,-2.9,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
